time,smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
0.11848402,0.42,2.41,0.01,0,0.43,0,-2.79,5.21,5.52
0.353546143,0.17,1.91,0.01,0.04,0.43,0,-1.7,5.58,5.02
0.587279797,0.15,1.83,0.01,0,0.43,0,-2.87,3.95,5.17
0.818880081,0.17,1.81,0.01,0.01,0.43,0,-1.08,3.63,5.44
1.047958851,0.08,1.14,0,0,0.43,0,-2.23,3.51,3.72
1.28686285,0.03,0.55,0,0,0.45,0,-0.66,4.77,2.62
1.521189928,0.03,0.45,0,0,0.43,0,-0.77,3.15,2.25
1.753644943,0.02,0.45,0,0,0.43,0,-1.01,5.44,2.64
1.985561848,0.02,0.47,0,0,0.43,0,-1.79,6.24,1.95
2.221280098,0.02,0.48,0,0,0.43,0,-1.74,6.9,2.25
2.453043938,0.04,0.44,0,0.01,0.43,0,-2.15,6.29,1.83
2.685678959,0.04,0.44,0,0.01,0.43,0,-1.07,6.6,2.04
2.921302795,0.03,0.43,0,0.03,0.42,0,-0.58,5.34,1.47
3.152604103,0.03,0.43,0,0.02,0.43,0,2.27,6.05,2.08
3.386515141,0.03,0.44,0,0.04,0.42,0,2.53,7.23,1.49
3.611692905,0.03,0.46,0,0.02,0.43,0,3.22,5.45,1.51
3.855476856,0.04,0.45,0,0,0.43,0,1.01,6,0.94
4.086740017,0.09,0.44,0,0,0.43,0,-1.04,11.52,1.14
4.321084976,0.17,0.47,0,0,0.43,0,-2.1,11.86,-0.12
4.552911997,0.07,1.19,0,0,0.48,0,-0.5,10.1,0.47
4.788721085,0.04,11.86,0,0.02,2.6,0,-0.25,5.79,0.31
5.02195096,0.02,24.39,0,0.01,0.56,0,-0.34,5.89,1
5.252350807,0.01,11.62,0,0,0.43,0,-0.93,6.18,0.56
5.487606049,0,8.64,0,0,0.43,0,-2.06,6.49,0.62
5.718900919,0.02,8.65,0,0.26,0.7,0,0.38,8.61,1.7
5.954209805,0.08,75.01,0,1.29,100,0,-1.04,5.46,1.92
6.186377048,0.54,99.99,0,1.4,100,0,-3.79,6.19,1.8
6.420126915,3.69,99.98,0,25.16,99.8,0,-3.56,6.15,1.67
6.652848959,31.44,80.72,0,88.66,0.02,99.46,-5.24,7.65,1.08
6.886151791,46.95,0.53,0.21,82.97,0,98.49,-3.14,9.98,-1.01
7.120668888,57.4,0.25,17.46,9.19,0.22,0.01,-1.2,9.49,-0.33
7.353724957,66.63,0.09,49.99,4.25,0.31,0,-1.02,8.33,-0.35
7.586043835,91.14,0,98.28,99.32,0,99.92,-0.02,8.27,-0.52
7.818895817,98.9,0,99.91,99.98,0,99.93,-3.79,6.99,-0.18
8.052222967,99.91,0,99.93,100,0,99.93,-2.82,7.91,-0.65
8.286286831,99.99,0,99.93,99.98,0,99.93,-2.54,6.83,0.03
8.519529819,100,0,99.93,99.68,0.01,99.53,-3.23,7.02,0.68
8.752616882,100,0,99.93,100,0,99.93,-1.03,4.76,1
8.98623991,100,0,99.93,100,0,99.93,-1.36,6.15,1.22
9.219468117,100,0,99.93,100,0,99.93,-0.58,6.92,2.31
9.452753067,100,0,99.93,99.99,0,99.93,-1.06,5.18,2.95
9.686981916,100,0,99.93,98.15,0,99.9,-1.21,5.34,1.59
9.919434071,99.6,0.07,99.93,0,0.43,0,0.46,8.81,-0.51
10.1529541,65.44,0.09,49.96,0,0.43,0,0.91,8.88,-1.03
10.38732195,2.18,2.85,0,0,0.43,0,-0.03,10.86,-0.22
10.61921,0.02,1.79,0,0,0.43,0,-0.24,11.58,-0.35
10.85221481,0,1.24,0,0,0.43,0,0.19,9.76,-1.13
11.08745909,0.01,3.45,0,24.63,0.33,0.16,1.02,8.07,-1.21
11.31948996,0.78,4.18,0.01,84.67,0,98.85,5.92,8.19,-0.48
11.55211902,13.11,1.59,0.06,0,0,0,7.55,8.26,-0.79
11.79101396,86.41,0.01,99.31,0,0,0,6.89,10.31,-0.98
12.02442884,99.64,0,99.93,0,0,0,6.69,10.38,-1.54
12.25223589,99.85,0,99.93,0,0,0,5.07,9.67,-0.08
12.50374603,98.42,0.01,99.91,0.02,0.43,0,4.88,8.83,-2.65
12.71551609,95.82,0.01,99.86,83.93,0,98.73,0.37,6.54,0.75
12.95444393,84.24,0.01,99.06,53.67,0.01,23.97,2.02,7.44,-1.5
13.18644714,18.89,0.9,0.1,0,0.43,0,0.91,9.16,-2.73
13.42046094,1.56,2.65,0,0.03,0.43,0,-0.19,7.78,-1.74
13.65336895,2.67,2.59,0,0.14,0.42,0,0.76,7.69,-0.67
13.88495398,2.39,3.81,0,95.18,0,99.83,0.34,7.15,0.46
14.11988211,0.68,1.82,0,0.23,0.42,0,-1.53,9.9,-3.47
14.35157108,0.74,0.57,0,0.26,0.42,0,-0.78,7.59,-4.31
14.58696198,1.12,1.28,0,2.35,0.37,0,0.58,7.2,-3.67
14.81825304,0.31,2.65,0,63.24,0,64.09,1.4,6.93,-3.07
15.05342484,0.12,2.66,0,11,0.29,0.01,0.36,8.43,-3.75
15.28525996,0.23,2.72,0,30.79,0.05,0.49,1.17,8.24,-3.15
15.51950097,0.67,2.85,0,5.22,0.29,0,-0.2,9.42,-3.74
15.75155401,0.17,2.98,0,0,0.43,0,-1.59,10.24,-4.35
15.98594904,0.18,3.01,0,0.09,0.43,0,0.66,9.15,-9.84
16.22057199,0.09,2.09,0,0,0.43,0,-1.79,9.64,2.02
16.4538269,0.1,3,0,0.03,97.48,0,-0.57,9.39,3.94
16.68489099,0.04,0.93,0,0.03,0.43,0,-0.21,10.24,2.92
16.91972589,0.09,0.51,0,0.02,0.43,0,-0.69,9.76,3.21
17.15349793,0.13,0.45,0,0.01,0.43,0,-1.3,10.47,2.62
17.38720798,0.22,0.46,0,0.01,0.43,0,-2.19,10.45,1.92
17.61662912,0.08,0.46,0,0.02,0.43,0,0.77,11.35,1.29
17.84888697,0.04,0.49,0,0,0.43,0,-0.9,11.58,2.61
18.08796191,0.02,0.53,0,0,0.43,0,1.42,11.19,2.37
