smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
0,0.61,0,0,0.43,0,-9.04,-10.15,-0.99
0,1.97,0.01,0,0,0,-5.79,-20.83,-26.49
0,0,0,0,0,0,-22.25,-28.11,-10.42
0,0,0,0,0,0,-20.28,-36.6,-0.31
0,0,0,0,0.42,0,-22.44,-27.88,-5.26
0.07,0.43,0,0,0,0,-22.63,-21.44,3.51
0.09,0.42,0,0,0,0,-24.85,-20.35,1.99
0.04,0.4,0,0.02,0.12,0,-22.92,-15.14,2.83
0.01,0.35,0,0,0.43,0,-22.91,-17.49,5.35
0.03,0.36,0,0.12,0.4,0,-18.57,-0.72,11.27
0.02,0.42,0,0,0.43,0,0.36,-13.21,9.5
0.01,0.43,0,0,0.42,0,-0.36,-12.55,-10.45
,,,0,0,0,,,
0.03,1.57,0.01,29.53,0.05,0.39,10.78,-17.34,-5.69
0.03,2.63,0,0,0.43,0,7.56,-11.65,3.64
0.03,2.38,0,0,0.47,0,18.47,-5.97,1.12
,,,0,0,0,,,
,,,0,0,0,,,
46.29,0.02,3.74,0,0,0,2.03,-15.82,4.56
14.56,0.19,0.02,0,0,0,8.77,-14,1.37
3.6,0.36,0,1.33,0.39,0,-0.41,-14.6,3.59
,,,0,0,0,,,
,,,0,0,0,,,
0.04,0.62,0,0,0.43,0,0.65,-2.26,-0.52
0.2,0.52,0,0.01,0.43,0,9.42,-3.32,1.82
0.45,0.51,0,0.04,0.42,0,5.14,0.23,0.81
0.38,0.49,0,0.99,0.4,0,5.39,-0.03,6.59
0.42,0.5,0,0.48,0.41,0,5.44,-1.47,4.04
0.28,0.5,0,0.33,0.42,0,6.4,-7.16,5.13
0.11,0.45,0,0.03,0.43,0,6.08,-2.32,5.33
0.09,0.53,0,0,0.43,0,0.35,-6.89,-0.42
0.04,0.44,0,0,0.43,0,-1.21,-8.37,2.42
0.01,0.41,0,0,0.43,0,-2.27,-9.52,-1.11
0.02,0.42,0,0,0.43,0,1.92,-5.03,0.42
0.01,0.42,0,0,0.43,0,3.89,-3.76,2.27
0,0.42,0,0,0.43,0,4.87,-5.22,3.49
0,0.41,0,0,0.43,0,3.62,-6.62,2.39
0,0.41,0,0,0.43,0,9.23,-2.38,-2.56
0,0.38,0,0,0.43,0,7.65,1.18,-1.02
0,0.25,0,0,0.43,0,7.59,-0.24,-1.29
0,0.17,0,0,0.43,0,8.49,0.13,-0.73
0,0.28,0,0,0.43,0,8.57,-0.04,-1.49
0,0.26,0,0,0.43,0,8.26,0.06,-2.2
0,0.31,0,0.03,0.43,0,4.14,0.88,-3.22
0,0.54,0,59.43,0.01,47.41,5.12,5.78,-4.2
0.04,7.74,0,40.54,0.03,2.83,4.62,5.9,-3.02
0.03,7.57,0,0,0.42,0,5.07,6.58,-0.98
0.1,7.47,0,0.3,0.44,0,1.87,1.97,-5.07
0.25,99.83,0,97.93,0.01,99.9,-6.54,3.96,-0.19
1.07,98.13,0,99.82,0.01,99.93,-6.02,3.37,-0.78
9.55,29.94,0,99.8,0.01,99.93,-4.17,3.8,-0.15
75.8,0.44,12.73,99.53,0,99.92,-0.32,4.6,-0.16
97.44,0.09,99.83,99.88,0,99.93,1,2.6,-1.19
99.73,0.06,99.93,100,0,99.93,-4.18,-0.7,-4.92
99.91,0.03,99.93,97.52,0,99.89,-8.6,3.32,-3.14
99.94,0,99.83,98.97,0,99.92,-9.61,1.6,-2.19
99.99,0,99.7,99.97,0,99.93,-2.8,0.64,-3.36
100,0.03,99.93,100,0,99.93,-1.53,-1.59,-3.93
99.99,0.03,99.93,99.99,0,99.93,-0.16,-6.29,-6.85
100,0.02,99.93,19.16,0.11,0,-2.31,-6.05,-14.67
100,0.01,99.93,98.76,0,97.76,2.5,1.26,-3.6
99.99,0.01,99.88,98.64,0,99.9,2.21,-0.35,-3.69
