smile,disgust,joy,msmile,mdisgust,mjoy,pitch,yaw,roll
0.02,0.42,0,0,0.43,0,13.14,3.04,-2.95
0.07,0.44,0,0.24,0.42,0,10.88,3.78,-1.54
0.13,0.48,0,0.01,0.43,0,10.71,5.48,-2.42
0.06,0.51,0,0.08,0.42,0,12.78,7.15,-2.31
0.05,0.46,0,0.01,0.43,0,12.34,4.91,-2.57
0.01,0.45,0,0.01,0.43,0,11.4,6.07,-3.1
0.01,0.43,0,0,0.43,0,9.68,5.38,-3.29
0.01,0.45,0,0,0.43,0,8.65,5.46,-3.76
0,0.69,0,0.03,0.42,0,6.5,7.83,-3.7
0,1.04,0.01,0,0.43,0,7.39,7.48,-4.16
0,0.49,0.01,0,0.43,0,6.06,5.92,-4.83
0,1.88,0.01,0.01,0.43,0,6.49,3.55,-7.86
0,2.54,0.01,0,0.43,0,4.49,5.48,-8.23
0,2.56,0.01,0,0.43,0,4.85,7.61,-8.7
0,2.48,0.01,0,0,0,3.12,1.32,-8.5
0,0.44,0,0,0.42,0,1.83,-0.43,-4.85
0,0.28,0,0,0.43,0,-0.98,0.41,-5.98
0,0.34,0,0,0.43,0,0.11,2.11,-9.1
0,0.39,0,0,0,0,0.02,1.2,-8.19
0,0.4,0,0,0.43,0,-0.04,1.14,-8.4
0,0.4,0,0,0.43,0,0.66,0.23,-7.26
0,0.4,0,0,0.43,0,0.74,1.11,-7.44
0,0.36,0,0,0.43,0,0.1,2.2,-7.48
0,0.33,0,0,0.43,0,1.41,1.75,-8.24
0,0.33,0,0,0.43,0,1.18,0.98,-6.73
0,0.33,0,0,0,0,0.85,0.71,-6.93
0,0.33,0,0,0.43,0,1.13,2.32,-7.09
0,0.32,0,0,0.43,0,0.29,1.2,-9.2
0,0.34,0,0,0.43,0,-0.58,2.58,-8.39
0,0.28,0,0,0.43,0,-1.22,2.01,-7.39
0,0.23,0,0,0.42,0,-0.56,1.28,-7.15
0,0.08,0,0,0.43,0,-0.5,2.29,-6.73
0,0.06,0,0,0.43,0,-2.16,4.08,-8.12
0,0.04,0,0,0.43,0,-1.04,2.21,-8.2
0,0.04,0,0,0.43,0,-1.29,2.68,-7.25
0,0.03,0,0,0.43,0,-1.17,3.29,-6.92
0,0.02,0,0,0.43,0,-0.91,9.14,-5.6
0,0.01,0,0,0.43,0,1.02,14.76,-0.07
0,0,0,0,0,0,6.09,33.8,9.8
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
,,,0,0,0,,,
