time,smile,disgust,joy,pitch,yaw,roll,frame_x,frame_y,frame_width,frame_height,face_point_0,face_point_1,face_point_2,face_point_3,face_point_4,face_point_5,face_point_6,face_point_7,face_point_8,face_point_9,face_point_10,face_point_11,face_point_12,face_point_13,face_point_14,face_point_15,face_point_16,face_point_17,face_point_18,face_point_19,face_point_20,face_point_21,face_point_22,face_point_23,face_point_24,face_point_25,face_point_26,face_point_27,face_point_28,face_point_29,face_point_30,face_point_31,face_point_32,face_point_33
0.11305999755859375,51.47,0.01,17.48,-9.90,0.16,1.91,-0.61,2.45,121.47,125.83,29.90_74.56,38.15_96.28,58.93_107.31,79.93_96.08,89.02_74.03,33.34_46.98,41.66_43.58,51.08_46.79,68.11_46.89,77.54_43.68,85.81_47.17,59.64_56.11,59.66_74.23,51.18_74.49,59.47_77.47,67.86_74.62,37.11_55.83,50.39_55.90,68.79_55.77,82.11_55.65,46.00_86.62,55.82_83.77,59.47_84.80,62.94_83.66,72.08_86.57,66.34_90.60,59.14_92.33,51.64_90.65,59.38_86.40,59.21_89.68,43.45_53.87,43.21_57.77,75.91_53.68,75.84_57.56
0.32049083709716797,87.25,0.00,99.30,-8.21,1.12,1.50,1.65,0.93,115.22,129.54,29.70_75.04,38.71_96.94,58.93_108.88,79.52_96.90,88.33_74.80,33.86_46.97,41.40_42.93,50.49_45.91,66.76_46.12,75.96_43.08,83.63_47.33,58.66_54.59,58.79_73.97,51.04_74.68,58.69_77.40,66.47_74.70,37.22_55.29,50.03_55.07,67.67_54.99,80.36_55.34,45.75_86.41,55.51_83.92,58.74_84.80,61.87_83.79,71.25_86.31,65.57_90.66,58.74_92.29,51.70_90.91,58.73_86.66,58.66_89.42,43.21_53.21,43.18_57.08,74.59_53.19,74.37_57.06
0.5198497772216797,91.65,0.00,99.68,-10.33,0.78,1.82,-0.57,4.34,123.60,125.60,30.55_76.75,39.13_98.69,60.28_109.00,81.90_98.32,91.40_75.87,33.98_49.19,42.98_45.44,52.96_49.07,68.43_49.35,78.47_45.65,87.37_49.42,60.64_57.64,60.72_76.27,52.61_77.16,60.65_80.32,68.79_77.33,38.86_57.60,51.65_57.99,70.03_57.85,82.81_57.51,47.42_89.12,56.89_86.27,60.64_87.33,64.27_86.18,72.90_88.97,67.68_92.59,60.33_94.22,52.71_92.74,60.60_89.32,60.40_91.19,44.95_55.53,44.71_59.64,76.72_55.35,76.83_59.41
0.7201569080352783,67.66,0.00,80.10,-12.62,0.76,1.06,-0.04,3.52,119.72,121.56,29.63_72.56,37.59_94.08,59.45_104.82,81.40_93.79,89.97_71.82,33.42_46.88,42.05_43.45,51.58_46.24,66.96_46.37,76.52_43.26,85.14_46.61,59.36_55.25,59.48_72.70,51.39_73.98,59.45_77.13,67.63_74.08,38.54_55.11,50.47_55.45,68.57_55.19,80.34_54.76,46.74_86.62,55.52_84.04,59.42_85.09,63.27_83.97,71.66_86.21,66.74_88.97,59.41_90.39,51.95_89.17,59.46_87.36,59.37_87.43,44.32_52.97,44.05_56.98,74.61_52.72,74.72_56.63
0.9212360382080078,75.78,0.00,94.63,-12.03,0.51,1.92,1.27,3.62,116.08,120.67,30.10_73.58,37.28_94.16,58.27_104.17,79.80_94.10,87.97_73.34,33.72_46.88,41.99_43.25,51.26_46.52,66.40_46.75,75.68_43.32,83.86_47.09,58.81_55.06,58.81_74.05,51.10_74.89,58.69_77.85,66.50_75.09,37.59_55.13,50.30_55.46,67.37_55.42,79.88_55.14,45.91_86.55,55.28_84.11,58.81_85.12,62.26_84.04,71.01_86.38,65.45_89.23,58.47_90.48,51.34_89.27,58.77_87.04,58.53_87.49,43.69_52.70,43.44_57.20,74.08_52.63,74.02_57.13
1.1221659183502197,58.94,0.01,45.20,-9.99,0.37,1.90,2.84,2.38,116.86,129.03,31.59_75.31,39.72_97.64,60.34_109.91,81.04_98.01,89.73_75.51,35.51_48.32,43.56_44.37,52.91_47.82,68.38_47.99,77.89_44.46,85.98_48.64,60.50_56.51,60.59_75.44,53.04_76.48,60.46_79.11,68.11_76.37,39.42_56.55,52.33_56.74,69.34_56.66,82.10_56.56,47.73_87.93,57.43_85.30,60.81_86.24,64.07_85.16,72.83_87.72,67.60_91.97,60.50_93.91,53.08_92.35,60.76_88.11,60.45_90.64,45.45_54.31,45.36_58.49,76.24_54.28,76.16_58.48
1.3229899406433105,73.38,0.00,91.93,-15.07,0.83,1.22,-2.26,3.86,122.60,120.48,28.23_71.63,36.23_92.56,59.07_104.26,81.61_92.24,89.83_70.87,32.02_46.31,40.71_43.26,50.10_46.01,66.76_46.34,76.28_43.19,84.97_46.48,58.61_56.14,58.75_72.72,50.06_73.64,58.71_77.16,67.66_73.94,36.55_54.61,49.46_55.35,68.01_55.22,80.57_54.49,44.93_86.44,54.45_84.37,58.49_85.50,62.72_84.33,71.80_86.05,66.53_88.39,58.67_89.76,50.80_88.58,58.60_88.03,58.64_86.65,42.81_52.47,42.60_56.86,74.52_52.34,74.56_56.72
1.5239129066467285,26.61,0.01,0.23,-16.80,0.92,1.82,-0.82,5.98,126.11,118.91,31.08_71.61,39.75_92.83,61.98_105.07,83.92_92.84,93.12_71.20,34.43_47.83,43.21_44.82,52.96_47.34,69.90_47.82,79.76_44.96,88.90_48.37,61.73_58.51,61.76_74.51,52.55_74.92,61.65_78.53,71.18_75.38,38.67_55.97,52.26_57.02,71.21_56.92,84.76_56.12,47.28_86.70,57.80_85.07,61.45_86.18,65.27_85.06,75.55_86.71,69.82_89.35,61.61_90.81,53.45_89.46,61.49_88.90,61.63_87.57,45.42_54.14,45.16_58.62,78.12_54.13,78.19_58.67
1.7246239185333252,41.87,0.01,3.57,-15.33,0.51,1.56,-2.50,3.31,124.19,122.83,29.32_72.27,37.62_93.61,59.60_105.67,80.67_93.35,89.91_71.62,32.22_47.10,40.74_43.73,50.19_46.23,67.57_46.99,77.02_44.05,85.86_47.58,59.17_57.38,59.45_73.83,50.57_74.50,59.28_78.05,68.52_75.06,36.63_55.34,49.73_56.25,68.61_56.21,81.59_55.62,45.31_87.08,55.44_85.00,59.24_86.07,63.19_84.99,72.35_87.09,67.05_90.39,59.12_91.97,51.10_90.30,59.21_88.61,59.19_88.79,43.03_53.38,42.75_57.68,75.27_53.43,75.41_57.75
1.925266981124878,80.44,0.00,97.62,-15.93,0.45,1.86,2.82,5.87,116.78,118.08,31.82_72.17,38.51_92.88,60.43_104.27,82.23_92.87,90.03_72.07,35.46_47.74,44.20_44.62,53.34_47.57,67.92_47.95,77.23_44.65,85.90_47.72,60.73_56.82,60.64_74.09,52.78_75.01,60.63_78.56,68.65_75.25,40.31_55.84,52.34_56.58,69.38_56.43,81.08_55.72,48.00_87.42,56.78_85.37,60.52_86.49,64.28_85.31,72.34_86.94,67.66_89.29,60.47_90.73,53.08_89.53,60.57_88.61,60.49_87.82,46.14_53.59,45.78_58.04,75.43_53.49,75.52_57.85
